DATE,ANNA426MFG
1990-01-01,36.0934177104594
1990-02-01,39.5917719692045
1990-03-01,39.1827409593824
1990-04-01,39.3307163121224
1990-05-01,39.5655271645203
1990-06-01,39.474525959460294
1990-07-01,37.8264233102949
1990-08-01,38.4978017737079
1990-09-01,39.3796646313622
1990-10-01,35.070543435384806
1990-11-01,35.0767228406649
1990-12-01,37.931726706769
1991-01-01,36.6410148861235
1991-02-01,36.8377306260075
1991-03-01,36.7232105020156
1991-04-01,34.130181083932904
1991-05-01,36.374247742559
1991-06-01,36.5953213203331
1991-07-01,35.772571212770295
1991-08-01,36.2907183889915
1991-09-01,36.761254412560604
1991-10-01,37.2089962000735
1991-11-01,36.5346984702525
1991-12-01,35.7080106001982
1992-01-01,35.4343026383551
1992-02-01,35.196746716761496
1992-03-01,35.6572980855549
1992-04-01,35.459274209675705
1992-05-01,34.8929324468911
1992-06-01,34.3391522692095
1992-07-01,34.25435244661
1992-08-01,33.2460575701455
1992-09-01,33.8974018386888
1992-10-01,34.085503938194606
1992-11-01,33.798110488591
1992-12-01,33.895258997483104
1993-01-01,34.0235959519719
1993-02-01,34.1813959533259
1993-03-01,32.9908142323292
1993-04-01,32.1476735703203
1993-05-01,32.0175089320931
1993-06-01,32.0125416270155
1993-07-01,30.619934520750604
1993-08-01,30.6787976703007
1993-09-01,30.139067082967802
1993-10-01,29.974688538031803
1993-11-01,29.9051282344458
1993-12-01,30.013284467704302
1994-01-01,30.241441469688898
1994-02-01,30.7303364225686
1994-03-01,30.605178131665696
1994-04-01,31.3099531310508
1994-05-01,31.353717720753103
1994-06-01,31.550168454235603
1994-07-01,32.0110493801605
1994-08-01,32.7151580037362
1994-09-01,32.026236436335395
1994-10-01,31.7029390655472
1994-11-01,31.557391506807498
1994-12-01,31.82748807566
1995-01-01,32.0876343201277
1995-02-01,31.7073467598629
1995-03-01,31.6427279763802
1995-04-01,31.5546598033531
1995-05-01,31.587534472449498
1995-06-01,31.287522141543196
1995-07-01,31.6830627105877
1995-08-01,31.2303894142085
1995-09-01,30.964600861649604
1995-10-01,31.328977318665398
1995-11-01,31.5276265802502
1995-12-01,31.073695557418198
1996-01-01,29.903455918836197
1996-02-01,30.5560035801008
1996-03-01,30.725231153018104
1996-04-01,30.9261553116794
1996-05-01,30.7337653839357
1996-06-01,30.822024953733802
1996-07-01,30.9103973272925
1996-08-01,31.3347071558234
1996-09-01,30.9496810965416
1996-10-01,30.911424276124603
1996-11-01,30.8385023382207
1996-12-01,30.703650600072603
1997-01-01,30.4687289867688
1997-02-01,30.719225616226602
1997-03-01,30.8028180755684
1997-04-01,30.155174601691797
1997-05-01,30.473050051753997
1997-06-01,30.6361961149962
1997-07-01,30.847682355447002
1997-08-01,30.687531761515398
1997-09-01,30.8195992560581
1997-10-01,30.6526258801094
1997-11-01,30.9158658420656
1997-12-01,30.691797025413898
1998-01-01,31.643795041645102
1998-02-01,31.668942109533802
1998-03-01,31.663488625072
1998-04-01,32.3612300344262
1998-05-01,32.306658035096
1998-06-01,32.215742113805696
1998-07-01,31.589716616077
1998-08-01,32.1831812149175
1998-09-01,32.2698288151366
1998-10-01,32.479327598744895
1998-11-01,32.419537457921
1998-12-01,32.3359307717786
1999-01-01,33.025004827013
1999-02-01,33.0319713385409
1999-03-01,33.1690746489522
1999-04-01,32.706558365444
1999-05-01,32.484349130749195
1999-06-01,32.3857988139698
1999-07-01,32.8231021832093
1999-08-01,32.5364023047335
1999-09-01,32.4394851663588
1999-10-01,31.951971580484802
1999-11-01,31.591853023337197
1999-12-01,31.6253413328523
2000-01-01,31.0709641698921
2000-02-01,31.4197164609373
2000-03-01,31.038767220664102
2000-04-01,31.133838410032503
2000-05-01,31.0302324375881
2000-06-01,31.2732355417103
2000-07-01,30.948803108606402
2000-08-01,30.7439619052068
2000-09-01,29.5496646566227
2000-10-01,30.3024229428508
2000-11-01,30.0269252944293
2000-12-01,30.048412430402603
2001-01-01,29.496221287522896
2001-02-01,29.12844583946
2001-03-01,28.923964373721
2001-04-01,28.8062470711252
2001-05-01,28.651316822903105
2001-06-01,28.4545632373371
2001-07-01,28.174521186385302
2001-08-01,28.3785753498391
2001-09-01,28.1817980329048
2001-10-01,27.8346518385962
2001-11-01,28.0782530222169
2001-12-01,28.2158568522395
2002-01-01,26.887954654749798
2002-02-01,27.0290887576691
2002-03-01,26.873572827861
2002-04-01,26.664076328256996
2002-05-01,26.6745476899821
2002-06-01,26.4535755920128
2002-07-01,26.9295145093048
2002-08-01,26.4156084371795
2002-09-01,26.013043356918697
2002-10-01,26.6955110086822
2002-11-01,26.5388256571422
2002-12-01,26.298727304530697
2003-01-01,26.1395519783848
2003-02-01,26.0156801774359
2003-03-01,25.950127689611698
2003-04-01,25.4968132657546
2003-05-01,25.428924208589102
2003-06-01,25.260610418727197
2003-07-01,21.742755529139103
2003-08-01,24.543503239330803
2003-09-01,24.3271122697822
2003-10-01,24.1668844474292
2003-11-01,24.0409429130955
2003-12-01,24.089227557168602
2004-01-01,24.0764955377352
2004-02-01,23.9914844471244
2004-03-01,23.918161253910604
2004-04-01,24.528387409842896
2004-05-01,23.9329247043713
2004-06-01,23.783864423606502
2004-07-01,21.059384685404503
2004-08-01,23.444185527098398
2004-09-01,23.313793436597802
2004-10-01,23.2695779982373
2004-11-01,22.9384949948725
2004-12-01,22.7275807863604
2005-01-01,22.410667722611297
2005-02-01,22.856547376553102
2005-03-01,22.9321868642078
2005-04-01,22.7523352695556
2005-05-01,22.8717275381007
2005-06-01,22.4144112834229
